entity_candidate,entity
êlise,B-PER
putdlaĸ,B-PER
gaba,B-PER
piitannguaq,B-PER
aqqalua,B-PER
taatsiannguaq,B-PER
erne,B-PER
angutivik,B-PER
mala,B-PER
kiistaaraq,B-PER
niviana,B-PER
maliina,B-PER
uju,B-PER
ulloriaq,B-PER
paarma,B-PER
nikku,B-PER
inooraq,B-PER
aputsiaq,B-PER
aqissiaq,B-PER
salik,B-PER
joorut,B-PER
alibak,B-PER
atsa,B-PER
ivalo,B-PER
aviana,B-PER
miiannguaq,B-PER
miki,B-PER
massanti,B-PER
sikkerninnguaq,B-PER
ivaaq,B-PER
sikkersoq,B-PER
niviaq,B-PER
makka,B-PER
najaaja,B-PER
orpa,B-PER
ikiuna,B-PER
mati,B-PER
natuk,B-PER
jenseeraq,B-PER
kuluk,B-PER
amâssa,B-PER
naasunnguaq,B-PER
aqqalooraq,B-PER
kori,B-PER
najannguaq,B-PER
makkannguaq,B-PER
sofiannguaq,B-PER
palleq,B-PER
tîna,B-PER
utertoq,B-PER
aka,B-PER
mari,B-PER
meqo,B-PER
nukappiannguaq,B-PER
kaaka,B-PER
nuuni,B-PER
anni,B-PER
manu,B-PER
aja,B-PER
paarnaq,B-PER
aima,B-PER
kaali,B-PER
jakunguaq,B-PER
aannguaq,B-PER
mâria,B-PER
nûno,B-PER
odaq,B-PER
naja,B-PER
sâlo,B-PER
sâmo,B-PER
anguteeraq,B-PER
kîsta,B-PER
maaliannguaq,B-PER
marîna,B-PER
taatsiaq,B-PER
avgo,B-PER
nukappi,B-PER
anga,B-PER
tuperna,B-PER
palu,B-PER
nukaaraq,B-PER
mikisuluk,B-PER
niviaaluk,B-PER
jaaku,B-PER
arqalo,B-PER
pilutaq,B-PER
parnuuna,B-PER
êrik,B-PER
tupârna,B-PER
kristîna,B-PER
ujarneq,B-PER
arnaruluk,B-PER
makkak,B-PER
arîna,B-PER
polunika,B-PER
nukannguaq,B-PER
kaalinnguaq,B-PER
qulutannguaq,B-PER
inunnguaq,B-PER
arnajaraq,B-PER
mâlia,B-PER
malik,B-PER
maasinnguaq,B-PER
sinniisoq,B-PER
inequ,B-PER
ango,B-PER
ilatsiaq,B-PER
mîlo,B-PER
anna,B-PER
sakkak,B-PER
panigpak,B-PER
mikisoq,B-PER
qivioq,B-PER
asii,B-PER
juaannannguaq,B-PER
erni,B-PER
ivaana,B-PER
paarnannguaq,B-PER
kârale,B-PER
boa,B-PER
nielseraq,B-PER
navarana,B-PER
kunuunnguaq,B-PER
nukappiaraq,B-PER
arnartaq,B-PER
sâra,B-PER
pîa,B-PER
kitura,B-PER
mîna,B-PER
naalu,B-PER
arnánguaĸ,B-PER
mike,B-PER
aqqaluartaa,B-PER
uka,B-PER
juaannguaq,B-PER
jâne,B-PER
paviaraq,B-PER
nauja,B-PER
nukakkuluk,B-PER
johansinnguaq,B-PER
ilasiaq,B-PER
aqqa,B-PER
najaaraq,B-PER
ârne,B-PER
inuuna,B-PER
mika,B-PER
tupaarnaq,B-PER
ella,B-PER
augo,B-PER
êrna,B-PER
inuujuk,B-PER
kaalannguaq,B-PER
viivi,B-PER
nivi,B-PER
ivinnguaq,B-PER
qupanuk,B-PER
nukarleq,B-PER
aaqa,B-PER
avatannguaq,B-PER
miteq,B-PER
asa,B-PER
nuka,B-PER
paninnguaq,B-PER
manumina,B-PER
stîna,B-PER
jûlia,B-PER
malo,B-PER
ungaaq,B-PER
ujunguaq,B-PER
akisooq,B-PER
sika,B-PER
suersaq,B-PER
arnamineq,B-PER
suulut,B-PER
arnatsiaq,B-PER
kaaleeraq,B-PER
nivinnguaq,B-PER
aqqaluaq,B-PER
malinnguaq,B-PER
malîna,B-PER
piitaaraq,B-PER
aggu,B-PER
qisunnguaq,B-PER
kulunnguaq,B-PER
aviaq,B-PER
ilannguaq,B-PER
ulunnguaq,B-PER
maannguaq,B-PER
riikki,B-PER
ivâna,B-PER
akitsinnguaq,B-PER
nivikkannguaq,B-PER
norsaq,B-PER
ânitse,B-PER
angut,B-PER
aningaaq,B-PER
îsâĸ,B-PER
juaanna,B-PER
arnakkuluk,B-PER
arnarissoq,B-PER
lîsa,B-PER
aqqalunnguaq,B-PER
arnavaraq,B-PER
gaaba,B-PER
arĸalo,B-PER
najattaaq,B-PER
arqaluk,B-PER
looqi,B-PER
emanoraq,B-PER
inutsiaq,B-PER
larseraq,B-PER
laasi,B-PER
amâsa,B-PER
nunni,B-PER
pavia,B-PER
saamik,B-PER
ari,B-PER
sorlannguaq,B-PER
angutitsiaq,B-PER
maligiaq,B-PER
pitsi,B-PER
anguteq,B-PER
avataq,B-PER
lîna,B-PER
tippu,B-PER
aviaaja,B-PER
aqqalukkuluk,B-PER
aaneeraq,B-PER
sêria,B-PER
ína,B-PER
aaju,B-PER
kuuna,B-PER
najatta,B-PER
arĸaluk,B-PER
pilu,B-PER
paalu,B-PER
rîta,B-PER
kali,B-PER
nukaaka,B-PER
kuka,B-PER
inaluk,B-PER
nuunu,B-PER
uno,B-PER
tukummeq,B-PER
angunnguaq,B-PER
qillaq,B-PER
qulutaq,B-PER
nanoq,B-PER
áne,B-PER
iluuna,B-PER
nukarta,B-PER
inukitsoq,B-PER
minik,B-PER
nive,B-PER
kimmernaq,B-PER
pani,B-PER
arnaarannguaq,B-PER
bikki,B-PER
kâle,B-PER
arnaaraq,B-PER
hanseeraq,B-PER
paneeraq,B-PER
atangana,B-PER
aqqaluk,B-PER
bea,B-PER
nukappiaaluk,B-PER
maalia,B-PER
naduk,B-PER
imîna,B-PER
laannguaq,B-PER
puto,B-PER
maassannguaq,B-PER
erneq,B-PER
miilu,B-PER
simigaq,B-PER
aani,B-PER
kunuk,B-PER
angutimmarik,B-PER
angula,B-PER
sequssuna,B-PER
ivik,B-PER
tukumminnguaq,B-PER
kale,B-PER
hansinnguaq,B-PER
najattaannguaq,B-PER
nivikka,B-PER
pakkutaq,B-PER
âne,B-PER
malu,B-PER
atsiaq,B-PER
arnannguaq,B-PER
oleeraq,B-PER
angerla,B-PER
rosannguaq,B-PER
pilunnguaq,B-PER
ajaaja,B-PER
aleqa,B-PER
arnarulunnguaq,B-PER
ulloriannguaq,B-PER
masauna,B-PER
inuk,B-PER
jensinnguaq,B-PER
kaalat,B-PER
anike,B-PER
sikkerneq,B-PER
ujarak,B-PER
utertunnguaq,B-PER
maasi,B-PER
mamarut,B-PER
tasiusaq,B-LOC
qaanaaq,B-LOC
naajaat,B-LOC
akunnaaq,B-LOC
nuussuaq,B-LOC
tiilerilaaq,B-LOC
kangerluk,B-LOC
qeqertat,B-LOC
garðar,B-LOC
ikamiut,B-LOC
nanortalik,B-LOC
ilimanaq,B-LOC
eqalugaarsuit,B-LOC
narsarsuaq,B-LOC
kangaamiut,B-LOC
niaqornat,B-LOC
kangaatsiaq,B-LOC
saqqaq,B-LOC
uummannaq,B-LOC
alluitsup paa,B-LOC
narsaq,B-LOC
qassimiut,B-LOC
sisimiut,B-LOC
sarfannguit,B-LOC
kujalleq,B-LOC
qaqortoq,B-LOC
qeqqata,B-LOC
sermersooq,B-LOC
ittoqqortoormiit,B-LOC
niaqornaarsuk,B-LOC
aappilattoq,B-LOC
upernavik kujalleq,B-LOC
ikerasak,B-LOC
itilleq,B-LOC
napasoq,B-LOC
attu,B-LOC
ukkusissat,B-LOC
brattahlíð,B-LOC
narsarmijit,B-LOC
aasiaat,B-LOC
kitsissuarsuit,B-LOC
isertoq,B-LOC
iginniarfik,B-LOC
oqaatsut,B-LOC
ammassivik,B-LOC
igaliku,B-LOC
qassiarsuk,B-LOC
tasiilaq,B-LOC
kulusuk,B-LOC
arsuk,B-LOC
innaarsuit,B-LOC
qeqertarsuatsiaat,B-LOC
avannaata,B-LOC
kullorsuaq,B-LOC
sermiligaaq,B-LOC
nutaarmiut,B-LOC
kuummiit,B-LOC
atammik,B-LOC
qeqertaq,B-LOC
saarloq,B-LOC
qeqertalik,B-LOC
maniitsoq,B-LOC
qaarsut,B-LOC
kangerlussuaq,B-LOC
paamiut,B-LOC
siorapaluk,B-LOC
savissivik,B-LOC
kapisillit,B-LOC
qeqertarsuaq,B-LOC
kangersuatsiaq,B-LOC
upernavik,B-LOC
nuuk,B-LOC
ilulissat,B-LOC
qasigiannguit,B-LOC
saattut,B-LOC
ikerasaarsuk,B-LOC
